member_casual,month,week_day,no_of_ride,max_ride_duration,average_duration,avg_distances_between_stations
member,1,1,8989,526,10.53609968,1673.186516
casual,1,1,2357,929,13.55027577,1559.826077
member,1,2,19713,907,10.34637042,1739.260743
casual,1,2,4008,1087,13.34580838,1556.09121
member,1,3,18830,712,10.33505045,1745.82701
casual,1,3,3380,532,11.58136095,1517.442363
member,1,4,26388,735,10.30638927,1752.974181
casual,1,4,4542,539,11.19749009,1509.121275
member,1,5,22618,606,9.905650367,1757.379115
casual,1,5,4374,454,11.56858711,1536.052564
member,1,6,13714,480,9.872903602,1663.687687
casual,1,6,3083,821,12.54751865,1508.980345
member,1,7,9660,480,10.94554865,1673.30011
casual,1,7,2502,697,13.37410072,1573.882047
member,2,1,37256,636,12.23349259,1976.454122
casual,2,1,16943,881,19.74797852,1968.991786
member,2,2,50049,765,10.55535575,1874.461686
casual,2,2,13094,801,16.22002444,1796.607178
member,2,3,59830,695,10.76891192,1950.111532
casual,2,3,14349,750,14.63272702,1785.193996
casual,2,4,10974,843,13.19564425,1697.604179
member,2,4,50187,756,10.61826768,1870.001941
member,2,5,53794,599,10.39718184,1861.160894
casual,2,5,11707,1100,13.02058597,1715.32555
member,2,6,40039,692,10.31961338,1738.537631
casual,2,6,10603,1038,14.6637744,1658.409141
member,2,7,31591,1139,11.26795606,1833.561149
casual,2,7,11827,834,16.39688848,1751.54292
casual,3,1,7348,450,16.87193794,1883.981048
member,3,1,17161,730,10.7450032,1834.690028
member,3,2,25359,563,9.532868015,1803.198245
casual,3,2,6782,667,13.64833382,1671.409955
casual,3,3,9166,452,13.87573642,1835.381801
member,3,3,32096,772,10.10157029,1891.324468
member,3,4,39697,620,10.15837469,1901.395275
casual,3,4,11248,554,13.4602596,1749.024131
member,3,5,35846,615,9.639987725,1839.046383
casual,3,5,10077,1205,12.82048229,1745.419014
member,3,6,29066,485,9.74189775,1756.997663
casual,3,6,9281,684,13.92953346,1720.698262
member,3,7,16905,569,10.7047619,1845.449687
casual,3,7,7904,694,14.54225709,1803.014266
member,4,1,29500,480,11.65437288,1968.552521
casual,4,1,18615,1373,20.70394843,2002.922048
member,4,2,33885,480,10.03972259,1896.113646
casual,4,2,12040,718,16.83181063,1836.539238
member,4,3,40418,609,10.77564451,2020.502809
casual,4,3,15720,523,16.79917303,1980.730428
member,4,4,43014,548,10.96298879,2057.265345
casual,4,4,18213,763,16.85455444,2002.620924
member,4,5,48196,525,11.3276828,2083.767978
casual,4,5,23326,771,17.51611935,2042.374849
member,4,6,43438,670,11.13621714,2020.222377
casual,4,6,25668,837,18.92812062,2052.897888
member,4,7,40141,899,12.46433821,2110.047414
casual,4,7,32405,1024,22.0111094,2152.37275
casual,5,1,41833,879,25.11775393,2246.028651
member,5,1,41133,712,14.31393285,2288.009327
casual,5,2,29368,531,22.30580904,2129.874248
member,5,2,48797,614,11.96229276,2085.626709
member,5,3,67559,740,11.94259832,2189.175466
casual,5,3,33186,1079,18.6733261,2150.295779
member,5,4,67378,750,11.69414349,2160.998543
casual,5,4,31168,977,17.02958162,2086.244233
casual,5,5,28078,838,18.11040672,2144.850184
member,5,5,55554,591,11.96462901,2199.546282
member,5,6,46134,537,11.8451901,2093.30382
casual,5,6,28363,1010,18.70577866,2082.316813
